Term|Code|Preferred|PreferredTerm|Kind
elastoidosis cutanea nodularis|M11550|V|elastoidosis cutanea nodularis|2
elastolyse|M50150|V|elastolyse|2
elastose|M50140|V|elastose|2
elastosis perforans serpiginosa|M74060|V|elastosis perforans serpiginosa|2
elastosis senilis|M50140E93250||actinische beschadiging|6
elastosis serpiginosa perforans|M74060||elastosis perforans serpiginosa|2
elastosis solaris|M50140||elastose|2
electriciteit|E93600|V|electriciteit|2
electrocoagulatie|F98300||cauterisatie effect|2
electronenmicroscopie|P32500|V|electronenmicroscopie|1
elleboog|TY8300|V|elleboog|0
ellebooggewricht|T12430|V|ellebooggewricht|0
elleboogstreek|TY8300||elleboog|0
embolie|M35300||embolus|2
embolie door corpus alienum|M35350|V|embolie door corpus alienum|2
embolus|M35300|V|embolus|2
embryo|T89010|V|embryo|0
embryonaal adenoom|M81910|V|embryonaal adenoom|2
embryonaal carcinoom|M90703|V|embryonaal carcinoom|2
embryonaal rabdomyosarcoom|M89103||embryonaal rhabdomyosarcoom|2
embryonaal rhabdomyosarcoom|M89103|V|embryonaal rhabdomyosarcoom|2
embryonaalcelcarcinoom|M90703||embryonaal carcinoom|2
embryonal rhabdomyosarcoma|M89103||embryonaal rhabdomyosarcoom|2
embryonale cyste|M26500||congenitale cyste|2
embryonale delen|T89010M28000|V|embryonale delen|6
embryonale rest|M26300|V|embryonale rest|2
embryonale reststructuur|M26300||embryonale rest|2
embryonale tumor|M94793|V|embryonale tumor|2
embryonale tumor met meerlagige rozetten|M94783|V|embryonale tumor met meerlagige rozetten|2
emery-dreifuss spierdystrofie|D80360|V|emery-dreifuss spierdystrofie|2
emfyseem|M32800|V|emfyseem|2
emfyseem, bulleus|M32830||bulleus emfyseem|2
emfysemateuze bulla|M32830||bulleus emfyseem|2
emphysema bullosum|M32830||bulleus emfyseem|2
empyeem|M40450|V|empyeem|2
empyema|M40450||empyeem|2
encefalokele|M21660|V|encefalokele|2
encefalomalacie|TX2000M54400|V|encefalomalacie|6
encefalomalacie haard|TX2000M54400||encefalomalacie|6
encefalomeningitis|TX1110TX2000M40000|V|encefalomeningitis|6
encefalopathie|TX2000D00010|V|encefalopathie|2
encephalopathy|TX2000D00010||encefalopathie|2
enchondrale verbening|T15000M73400|V|enchondrale verbening|6
enchondromatose|M22530|V|enchondromatose|2
enchondroom|M92220|V|enchondroom|2
end stage kidney|D65150||terminale nier|2
endarteriectomie|T41010P11100|V|endarteriectomie|6
endarteriitis obliterans|T41010M45700|V|endarteriitis obliterans|6
endarteritis|T41010M40000|V|endarteritis|6
endarteritis obliterans|T41010M45700||endarteriitis obliterans|6
endm|T84000||endometrium|0
endm.adca|T84000M81403|V|endm.adca|6
endm.at.e|M01020M69730||atypische endometriumcellen|6
endm.at.g|M01020M69730||atypische endometriumcellen|6
endm.at.m|M01020M69730||atypische endometriumcellen|6
endocapillaire proliferatieve glomerulonefritis|D67050||acute exsudatieve glomerulonefritis|2
endocard|T34000|V|endocard|0
endocarditis|T34000M40000|V|endocarditis|6
endocarditis van libman sacks|T34000M52620|V|endocarditis van libman sacks|2
endocarditis verrucosa|T34000M46160||verruceuze endocarditis|2
endocervicaal|T83300||endocervix|0
endocervicaal epitheel|T83320||endocervixslijmvlies|0
endocervicaal kanaal|T83300||endocervix|0
endocervicale tunnelcluster|T83300M72420|V|endocervicale tunnelcluster|6
endocervicitis|T83300M40000|V|endocervicitis|6
endocervicose|M76530|V|endocervicose|2
endocervix|T83300|V|endocervix|0
endocervixepitheel|T83320||endocervixslijmvlies|0
endocervixkanaal|T83300||endocervix|0
endocervixslijmvlies|T83320|V|endocervixslijmvlies|0
endocrien klierweefsel|T90000|V|endocrien klierweefsel|0
endocrien slijmvormend zweetkliercarcinoom|M84833|V|endocrien slijmvormend zweetkliercarcinoom|2
endocriene adenomatose|M83601||multipele endocriene adenomen|2
endocriene cellen maag hyperplasie|T63090M72000||hyperplasie endocriene cellen maag|6
endocriene myopathie|D80050|V|endocriene myopathie|2
endodermale sinus tumor|M90713||dooierzak tumor|2
endo-echografie|PX9120|V|endo-echografie|1
endometriaal|T84000||endometrium|0
endometrioid adenocarcinofibroom|M83813|V|endometrioid adenocarcinofibroom|2
endometrioid adenocarcinoom|M83803||endometrioid carcinoom|2
endometrioid adenofibroom|M83810|V|endometrioid adenofibroom|2
endometrioid adenoom|M83800||endometrioid cystadenoom|2
endometrioid adenoom borderline|M83801||endometrioide borderline tumor|2
endometrioid carcinoom|M83803|V|endometrioid carcinoom|2
endometrioid cystadenocarcinoom|M83803||endometrioid carcinoom|2
endometrioid cystadenoom|M83800|V|endometrioid cystadenoom|2
endometrioide borderline tumor|M83801|V|endometrioide borderline tumor|2
endometrioide intraepitheliale neoplasie|M83802|V|endometrioide intraepitheliale neoplasie|2
endometrioom|M76540|V|endometrioom|2
endometriose|M76500|V|endometriose|2
endometriosecyste|M33540|V|endometriosecyste|2
endometriosehaard|M76500||endometriose|2
endometriosis externa|M76500||endometriose|2
endometriosis interna|M76510||adenomyose|2
endometritis|T84000M40000|V|endometritis|6
endometritis decidualis|T84000M79510|V|endometritis decidualis|6
endometrium|T84000|V|endometrium|0
endometrium bij jonge zwangerschap|M79450||endometrium met zwangerschapsverandering|2
endometrium in menopauze|T84000F30440||endometrium in postmenopauze|6
endometrium in menstruatiefase|T84000M79330|V|endometrium in menstruatiefase|2
endometrium in midinterval|T84000M79310||endometrium in proliferatiefase|2
endometrium in postmenopauze|T84000F30440|V|endometrium in postmenopauze|6
endometrium in progestagene fase|T84000M79320||endometrium in secretiefase|2
endometrium in proliferatie|T84000M79310||endometrium in proliferatiefase|2
endometrium in proliferatiefase|T84000M79310|V|endometrium in proliferatiefase|2
endometrium in secretie|T84000M79320||endometrium in secretiefase|2
endometrium in secretiefase|T84000M79320|V|endometrium in secretiefase|2
endometrium inactief|T84000M79360||inactief endometrium|2
endometrium irregulaire secretie|T84000F00400||onregelmatig uitrijpend endometrium|2
endometrium irregulaire secretie activiteit|T84000F00400||onregelmatig uitrijpend endometrium|2
endometrium met menstruele kenmerken|T84000M79330||endometrium in menstruatiefase|2
endometrium met predeciduale verandering|M79440||predeciduale verandering|2
endometrium met seniele atrofie|T84000F30440||endometrium in postmenopauze|6
endometrium met tekenen van anovulatoire cyclus|T84000M79340|V|endometrium met tekenen van anovulatoire cyclus|2
endometrium met tekenen van proliferatie|T84000M79310||endometrium in proliferatiefase|2
endometrium met tekenen van secretie|T84000M79320||endometrium in secretiefase|2
endometrium met tekenen van zwangerschap|M79450||endometrium met zwangerschapsverandering|2
endometrium met zwangerschapsverandering|M79450|V|endometrium met zwangerschapsverandering|2
endometrium onregelmatige uitrijping|T84000F00400||onregelmatig uitrijpend endometrium|2
endometrium postmenopauze|T84000F30440||endometrium in postmenopauze|6
endometrium premenstrueel|T84000M79320||endometrium in secretiefase|2
endometrium proliferatiefase|T84000M79310||endometrium in proliferatiefase|2
endometrium proliferatieve activiteit|T84000M79310||endometrium in proliferatiefase|2
endometrium secretiefase|T84000M79320||endometrium in secretiefase|2
endometrium secretoire activiteit|T84000M79320||endometrium in secretiefase|2
endometrium stroma nodule|M89300||endometriumstroma nodus|2
endometrium tijdens proliferatiefase|T84000M79310||endometrium in proliferatiefase|2
endometrium tijdens secretiefase|T84000M79320||endometrium in secretiefase|2
endometrium zwak prolifererend|T84000M79310F04410|V|endometrium zwak prolifererend|2
endometriumatrofie|T84000F30440||endometrium in postmenopauze|6
endometriumcellen gezien|M01020|V|endometriumcellen gezien|2
endometriumpoliep|T84000M76800|V|endometriumpoliep|6
endometriumstroma nodus|M89300|V|endometriumstroma nodus|2
endometriumstromacelsarcoom|M89303||hooggradig endometriumstromasarcoom|2
endometriumstromasarcoom|M89303||hooggradig endometriumstromasarcoom|2
endomyocardiale sclerose|T34000M52320|V|endomyocardiale sclerose|2
endophthalmitis|TY0480M40000|V|endophthalmitis|6
endoprothese|M15880||prothesemateriaal|2
endoresectie|P11281||curettage|1
endosalpingiose|M76520|V|endosalpingiose|2
endosalpingitis|T86100M40000||salpingitis|6
endoscopische echografie|PX9120||endo-echografie|1
endost|T11030|V|endost|0
endotheelcel|T05130|V|endotheelcel|0
endotheliale metaplasie|M73060|V|endotheliale metaplasie|2
endotheliale verandering|M73060||endotheliale metaplasie|2
enkel|TY9500|V|enkel|0
enkelband|T18470|V|enkelband|0
enkelbot|T11750|V|enkelbot|0
enkelgewricht|T12750|V|enkelgewricht|0
enostose|M71480|V|enostose|2
entamoeba|E44550|V|entamoeba|2
entamoeba histolytica|E44560|V|entamoeba histolytica|2
enteritis|T64000M40000|V|enteritis|6
enterobacter|E15800|V|enterobacter|2
enterobacter cloacae|E15810|V|enterobacter cloacae|2
enterobius|E45440|V|enterobius|2
enterobius vermicularis|E45445|V|enterobius vermicularis|2
enterococ|E25280|V|enterococ|2
enterocolitis|T64000T67000M40000|V|enterocolitis|6
enterogene cyste|M26660|V|enterogene cyste|2
enterokele|T64000M31650|V|enterokele|2
enteropathie-geassocieerd t-cel lymfoom|M97103|V|enteropathie-geassocieerd t-cel lymfoom|2
enterostomie|T64000M18800|V|enterostomie|6
enterovirus|E31700|V|enterovirus|2
enucleatie|P11220|V|enucleatie|1
enzym defect|D14200|V|enzym defect|2
enzymhistochemie|P40241|V|enzymhistochemie|1
eosinofiel adenoom|M82800|V|eosinofiel adenoom|2
eosinofiel granuloom|M77860|V|eosinofiel granuloom|2
eosinofiel infiltraat|M42060||eosinofiele ontsteking|2
eosinofiel ontstekingsinfiltraat|M42060||eosinofiele ontsteking|2
eosinofiel solide en cysteus niercelcarcinoom|M82901||oncocytaire tumor|2
eosinofiele cellulitis|T03000M47800|V|eosinofiele cellulitis|2
eosinofiele fasciitis|D38980|V|eosinofiele fasciitis|2
eosinofiele gastro-enteritis|D07080|V|eosinofiele gastro-enteritis|2
eosinofiele gastro-enteritis ziekte|D07080||eosinofiele gastro-enteritis|2
eosinofiele granulocyten|T0X170|V|eosinofiele granulocyten|0
eosinofiele granulocytose|T0X170M77600||eosinofilie|2
eosinofiele hyperplasie|T06340M72000|V|eosinofiele hyperplasie|2
eosinofiele ontsteking|M42060|V|eosinofiele ontsteking|2
eosinofiele pustuleuze folliculitis|M40151||ofuji|2
eosinofilie|T0X170M77600|V|eosinofilie|2
eosinofilie beenmerg|T06000M77600|V|eosinofilie beenmerg|2
ep.atr|M58001||epitheelatrofie|2
ependym|TX1610|V|ependym|0
ependym van het ruggenmerg|TX1890|V|ependym van het ruggenmerg|0
ependymcel|TX0490|V|ependymcel|0
ependymitis granularis|T79100M44000|V|ependymitis granularis|6
ependymoblastoom|M93923||anaplastisch ependymoom|2
ependymoom|M93913|V|ependymoom|2
ependymoom graad 2|M93913||ependymoom|2
ephelide|M57260||sproet|2
ephelides|M57260||sproet|2
ephelis|M57260||sproet|2
epicanthus|M25150|V|epicanthus|2
epicard|T31010|V|epicard|0
epicondylus femoris|T11710||heupkop|0
epidermale cyste|M33410|V|epidermale cyste|2
epidermale inclusiecyste|M33410||epidermale cyste|2
epidermale naevus|M75770|V|epidermale naevus|2
epidermis|T01100|V|epidermis|0
epidermiscyste|M33410||epidermale cyste|2
epidermodysplasia verruciformis|M76640||verruciforme epidermodysplasie|2
epidermoid inclusion cyst|M33410||epidermale cyste|2
epidermoidcyste|M33410||epidermale cyste|2
epidermolyse|M51550|V|epidermolyse|2
epidermolyse bullosa|M51550M36360E01000||epidermolysis bullosa|6
epidermolysis|M51550||epidermolyse|2
epidermolysis bullosa|M51550M36360E01000|V|epidermolysis bullosa|6
epidermolysis bullosa acquisita|D10435|V|epidermolysis bullosa acquisita|2
epidermolytische hyperkeratose|D36780|V|epidermolytische hyperkeratose|2
epididymis|T79100|V|epididymis|0
epididymisvocht|T7Y200|V|epididymisvocht|0
epididymitis|T79100M40000|V|epididymitis|6
epiduraal|TX1280|V|epiduraal|0
epiduraal anaesthesie|P1X220|V|epiduraal anaesthesie|1
epidurale ruimte|TX1280||epiduraal|0
epidurale ruimte ruggemerg|TX1300|V|epidurale ruimte ruggemerg|0
epifyse bot|T11050|V|epifyse bot|0
epigastrisch|TY4200||bovenbuik|0
epigastrisch gebied|TY4200||bovenbuik|0
epiglottis|T24010|V|epiglottis|0
epignathie|M28780|V|epignathie|2
epilepsie|F87000|V|epilepsie|2
epineurium|TX0560|V|epineurium|0
epipharynx|T60200||mondkeelholte|0
epiphyse cerebrum|T92000||glandula pinealis|0
epiretinale membraan|TXX000M79992|V|epiretinale membraan|2
epitheel portio vaginalis|T83110||portio|0
epitheelatrofie|M58001|V|epitheelatrofie|2
epitheelcyste|M33409||epitheliale inclusiecyste|2
epitheelhyperplasie|M72002|V|epitheelhyperplasie|2
epitheelmetaplasie|M73200|V|epitheelmetaplasie|2
epitheelproliferatie|M76080|V|epitheelproliferatie|2
epitheliaal-myoepitheliaal carcinoom|M89833|V|epitheliaal-myoepitheliaal carcinoom|2
epitheliale cyste|M33409||epitheliale inclusiecyste|2
epitheliale inclusiecyste|M33409|V|epitheliale inclusiecyste|2
epitheliale reststructuur|M26310|V|epitheliale reststructuur|2
epithelioid and spindle cell nevus|M87700||spitz naevus|2
epithelioid angiomyolipoom|M88601|V|epithelioid angiomyolipoom|2
epithelioid angiosarcoom|M91253|V|epithelioid angiosarcoom|2
epithelioid en spoelcelnaevus|M87700||spitz naevus|2
epithelioid glioblastoom|M94453|V|epithelioid glioblastoom|2
epithelioid hemangioendothelioom|M91333|V|epithelioid hemangioendothelioom|2
epithelioid hemangioom|M91250|V|epithelioid hemangioom|2
epithelioid histiocytoom|M88330|V|epithelioid histiocytoom|2
epithelioid inflammatoir myofibroblastisch sarcoom|M88263|V|epithelioid inflammatoir myofibroblastisch sarcoom|2
epithelioid leiomyoblastoom|M88910||epithelioid leiomyoom|2
epithelioid leiomyoom|M88910|V|epithelioid leiomyoom|2
epithelioid leiomyosarcoom|M88913|V|epithelioid leiomyosarcoom|2
epithelioid mesothelioom|M90523|V|epithelioid mesothelioom|2
epithelioid myxofibrosarcoom|M88123|V|epithelioid myxofibrosarcoom|2
epithelioid sarcoom|M88043|V|epithelioid sarcoom|2
epithelioid schwannoom|M95680|V|epithelioid schwannoom|2
epithelioidcel sarcoom|M88043||epithelioid sarcoom|2
epithelioide maligne perifere zenuwschede tumor|M95613|V|epithelioide maligne perifere zenuwschede tumor|2
epithelioide trofoblastaire tumor|M91053|V|epithelioide trofoblastaire tumor|2
epithelioom|M80113||maligne epithelioom|2
epithelioom van malherbe|M81100||pilomatricoom|2
epitheliose|M72170||ductale hyperplasie|2
epitheloid en spoelcelnaevus|M87700||spitz naevus|2
epitheloid hemangioepithelioom|M91250||epithelioid hemangioom|2
epitheloid hemangioom|M91250||epithelioid hemangioom|2
epitheloidcelgranuloom|M44000||granulomateuze ontsteking|2
epitheloidcelsarcoom|M88043||epithelioid sarcoom|2
epitympanum|TXY360|V|epitympanum|0
eponychium|T01650|V|eponychium|0
epoophoron|T86410|V|epoophoron|0
epstein barr virus|E32210||e.b.v.|2
epulis|M76850|V|epulis|2
epulis fibromatosa|M44120||perifeer reuscelgranuloom|2
epulis fibrosa|M44120||perifeer reuscelgranuloom|2
epulis gigantocellularis|M44120||perifeer reuscelgranuloom|2
epulis granulomatosa|M44120||perifeer reuscelgranuloom|2
epulis gravidarum|M44120F31010|V|epulis gravidarum|6
epulis reusceltumor|M44120||perifeer reuscelgranuloom|2
erdheim chester|M97493|V|erdheim chester|2
erfelijk|E01000|V|erfelijk|2
erfelijkheidsonderzoek|P30770||genetisch onderzoek|1
ernstige atypie|M69730|V|ernstige atypie|2
ernstige dysplasie|M74008||hooggradige dysplasie|2
ernstige ontsteking|M42130|V|ernstige ontsteking|2
erosie|M46100||erosieve ontsteking|2
erosieve ontsteking|M46100|V|erosieve ontsteking|2
erosio vera|M14110|V|erosio vera|2
eruptie|M01680|V|eruptie|2
eruptie cyste|M33401|V|eruptie cyste|2
eruptief xanthoom|M55330|V|eruptief xanthoom|2
erysipelas|T01000M41240|V|erysipelas|2
erytheem|M48400|V|erytheem|2
erythema ab igne|M11040|V|erythema ab igne|2
erythema annulare|M48410|V|erythema annulare|2
erythema annulare centrifugum|M48410||erythema annulare|2
erythema centrifugum annulare|M48410||erythema annulare|2
erythema chronicum migrans|M48430|V|erythema chronicum migrans|2
erythema dyschromicum perstans|M48490|V|erythema dyschromicum perstans|2
erythema elevatum diutinum|M48530|V|erythema elevatum diutinum|2
erythema exsudativum multiforme|M48570|V|erythema exsudativum multiforme|2
erythema exsudativum multiforme epidermale vorm|M48570||erythema exsudativum multiforme|2
erythema gyratum|M48450|V|erythema gyratum|2
erythema induratum|M44750|V|erythema induratum|2
erythema marginatum|M48440|V|erythema marginatum|2
erythema multiforme|M48560|V|erythema multiforme|2
erythema multiforme exsudativum|M48570||erythema exsudativum multiforme|2
erythema nodosum|M44080|V|erythema nodosum|2
erythema perstans|M48490||erythema dyschromicum perstans|2
erythema toxicum|M48650||toxisch erytheem|2
erythrasma|D01230E20000|V|erythrasma|2
erythroblastosis foetalis|D46800|V|erythroblastosis foetalis|2
erythroderma ichthyosiforme|D36780||epidermolytische hyperkeratose|2
erytroblast|T06110|V|erytroblast|0
erytroblastose|M77620|V|erytroblastose|2
erytrocyt|T0X129M37000|V|erytrocyt|2
erytrocyten|T0X129M37000||erytrocyt|2
erytrocytose|M77710||polycytemie|2
erytrodermie|M48200|V|erytrodermie|2
erytrofagie|F42000||hemofagocytose|2
erytrofagocytose|F42000||hemofagocytose|2
erytroide hyperplasie|T06100M72000||hyperplasie erytropoiese|6
erytroide hypoplasie|T06100M75300||hypoplasie van de rode reeks|6
erytroide reeks|T06100||erytropoetisch weefsel|0
erytrokeratodermie|D36780||epidermolytische hyperkeratose|2
erytromelanose van gezicht en nek|M40162|V|erytromelanose van gezicht en nek|2
erytroplakie|M58530|V|erytroplakie|2
erytroplasie|M80801||queyrat|2
erytroplasie van queyrat|M80801||queyrat|2
erytropoese|T06100F50060||erytropoiese|2
erytropoetisch weefsel|T06100|V|erytropoetisch weefsel|0
erytropoetische porfyrie|D42110|V|erytropoetische porfyrie|2
erytropoiese|T06100F50060|V|erytropoiese|2
escherichia coli|E15710|V|escherichia coli|2
essentiele trombocytemie|M99623|V|essentiele trombocytemie|2
esthesioneuroblastoom|M95223||olfactorius neuroblastoma|2
ethanol|E55120|V|ethanol|2
etiologie onbekend|E00010||idiopathisch|2
etmoid|T10156|V|etmoid|0
etter|M40460||pus|2
eventratie|M31410|V|eventratie|2
evisceratie|M14930|V|evisceratie|2
ewing|M93643|V|ewing|2
ewing sarcoom|M93643||ewing|2
ewing's sarcoom|M93643||ewing|2
exaggerated placental site reaction|T84000M79420|V|exaggerated placental site reaction|2
exanthema|M48405|V|exanthema|2
exarticulatie|T12000P11100|V|exarticulatie|6
excentrische hypertrofie hart|T32000M32100M71000|V|excentrische hypertrofie hart|6
excisie|P11200|V|excisie|1
excisie biopsie|P11260||excisie biopt|1
excisie biopt|P11260|V|excisie biopt|1
excochleaat|P11110||excochleatie|1
excochleatie|P11110|V|excochleatie|1
exconisatie|P11261||conusexcisie|1
excoriatie|M14100||krabeffect|2
exenteratie|P11350|V|exenteratie|1
exenteratio|P11350||exenteratie|1
exogene hemosiderose|M57502||secundaire hemochromatose|2
exostose|M71440|V|exostose|2
explantaat|M15750|V|explantaat|2
exsudaat|M40400||purulente ontsteking|2
exsudatieve ontsteking|M40400||purulente ontsteking|2
extensor digitorum pedis longus muscle tendon sheath|T17760|V|extensor digitorum pedis longus muscle tendon sheath|0
extern consult|P06520||consult extern|1
extirpatie|P11102|V|extirpatie|1
extra aangelegd orgaan|M22300|V|extra aangelegd orgaan|2
extra-abdominaal desmoid|M88211||desmoid type fibromatose|2
extra-amniotische graviditeit|F31120|V|extra-amniotische graviditeit|2
extracapillaire glomerulonefritis|D67400||crescentische glomerulonefritis|2
extracellulaire matrixverandering|M68500|V|extracellulaire matrixverandering|2
extractie|P11103|V|extractie|1
extraduraal|TX1280||epiduraal|0
extrahepatische afsluiting|T58000M20400||galgangatresie|6
extrahepatische galgang|T58000||extrahepatische galweg|0
extrahepatische galgangatresie|T58000M20400||galgangatresie|6
extrahepatische galweg|T58000|V|extrahepatische galweg|0
extramammaire paget|M85422|V|extramammaire paget|2
extramedullaire haematopoiese|M73500|V|extramedullaire haematopoiese|2
extramedullaire haemopoiese|M73500||extramedullaire haematopoiese|2
extramedullaire hematopoese|M73500||extramedullaire haematopoiese|2
extramedullaire hemopoese|M73500||extramedullaire haematopoiese|2
extranodaal|T00300M80004||extranodale groeiwijze|2
extranodaal marginale zone b-cel lymfoom|M97183||extranodaal marginale zone lymfoom|2
extranodaal marginale zone lymfoom|M97183|V|extranodaal marginale zone lymfoom|2
extranodaal nk/t-cel lymfoom|M97133|V|extranodaal nk/t-cel lymfoom|2
extranodale groeiwijze|T00300M80004|V|extranodale groeiwijze|2
extraskeletair chondroom|M92200||chondroom|2
extraskeletair chondrosarcoom|M92203||chondrosarcoom|2
extraskeletair myxoid chondrosarcoom|M92313||myxoid chondrosarcoom|2
extra-uteriene graviditeit|M28070|V|extra-uteriene graviditeit|2
extra-uteriene zwangerschap|M28070||extra-uteriene graviditeit|2
extravasatie|M36200|V|extravasatie|2
extravasatie van bloed|M37000||bloeding|2
extrinsic allergic alveolitis|T28010D75110||extrinsieke allergische alveolitis|2
extrinsieke allergische alveolitis|T28010D75110|V|extrinsieke allergische alveolitis|2
extrofie|M21550|V|extrofie|2
f.s.g.s.|D67910||focale segmentale glomerulosclerose|2
f.s.h|F25140|V|f.s.h|2
f.u.|Q00130||follow up|2
fabry|D14350||angiokeratoma corporis diffusum|2
facial afrocaribean childhood eruption|T02120M49630F08100|V|facial afrocaribean childhood eruption|2
faciocutaneoskeletal syndrome|DY0011||syndroom van costello|2
facioscapulo humerale spierdystrofie|D80250|V|facioscapulo humerale spierdystrofie|2
faecaalstase|M33110|V|faecaalstase|2
faecaalsteen|T6Y100M30000||faecolith|6
faecale massa|T6Y100||faeces|0
faecale stagnatie|M33110||faecaalstase|2
faeces|T6Y100|V|faeces|0
faecesmassa|T6Y100||faeces|0
faecesresten|T6Y100||faeces|0
faecesretentie|M33110||faecaalstase|2
faecolith|T6Y100M30000|V|faecolith|6
fagocytose|M69510|V|fagocytose|2
fahr|M55470|V|fahr|2
falanx hand|T11600|V|falanx hand|0
falanx voet|T11910|V|falanx voet|0
falx|TX1140|V|falx|0
falx cerebri|TX1140||falx|0
familiair|E01110|V|familiair|2
familiaire adenomateuze polyposis|D62662|V|familiaire adenomateuze polyposis|2
familiaire mediterrane koorts|D10030|V|familiaire mediterrane koorts|2
familiaire recurrerende hematurie|D67164||thin basement membrane disease|2
fap|D62662||familiaire adenomateuze polyposis|2
fascia|T18600||fascie|0
fascia antebrachii|T18810|V|fascia antebrachii|0
fascia lata|T18910|V|fascia lata|0
fascia palmaris|T18840|V|fascia palmaris|0
fascia pectoralis|T18710|V|fascia pectoralis|0
fascia plantaris|T18950|V|fascia plantaris|0
fascie|T18600|V|fascie|0
fascie abdomen|T18700|V|fascie abdomen|0
fascie arm|T18770|V|fascie arm|0
fascie hand|T18800|V|fascie hand|0
fascie onderste extremiteit|T18900||fascie van het been|0
fascie van de onderste extremiteit|T18900||fascie van het been|0
fascie van het been|T18900|V|fascie van het been|0
fascie voet|T18950||fascia plantaris|0
fasciitis necroticans|T18600M41700||necrotiserende fasciitis|6
fasciitis nodularis|M88280||nodulaire fasciitis|2
fatty change|M50080||steatose|2
favre racouchot|M11550||elastoidosis cutanea nodularis|2
favus|D05800|V|favus|2
feathering degeneration|M50130|V|feathering degeneration|2
fecoliet|T6Y100M30000||faecolith|6
felty|D30760|V|felty|2
felty syndroma|D30760||felty|2
femur|T11710||heupkop|0
femurkop|T11710||heupkop|0
fenacetine|E77590|V|fenacetine|2
fenestratie|M39200|V|fenestratie|2
feochromocytoom|M87003|V|feochromocytoom|2
ferri-ijzerverbinding|E51720|V|ferri-ijzerverbinding|2
fibreus|M49000||fibrose|2
fibreus corticaal defect|T11000M76180|V|fibreus corticaal defect|2
fibreus granulatieweefsel|M45240||granulatieweefsel|2
fibreus hamartoom|M75570|V|fibreus hamartoom|2
fibreus histiocytoom|M88300|V|fibreus histiocytoom|2
fibreus meningeoom|M95320|V|fibreus meningeoom|2
fibreuze adhesie|M49430|V|fibreuze adhesie|2
fibreuze afkapseling|M45000||chronische fibroserende ontsteking|2
fibreuze dysplasie|M88180|V|fibreuze dysplasie|2
fibreuze hyperplasie|M72430||stromale hyperplasie|2
fibreuze mastopathie|M74320T04000||fibrocysteuze mastopathie|2
fibreuze obliteratie|M49250||obliteratie|2
fibreuze papel|M91600||cellulair angiofibroom|2
fibreuze papel neus|M91600||cellulair angiofibroom|2
fibreuze pericarditis|T31000M45000||constrictieve pericarditis|6
fibreuze streng|M49430||fibreuze adhesie|2
fibrillair astrocytoom|M94203|V|fibrillair astrocytoom|2
fibrillaire glomerulonefritis|D67800||fibrillaire glomerulopathie|2
fibrillaire glomerulopathie|D67800|V|fibrillaire glomerulopathie|2
fibrin body|M39140|V|fibrin body|2
fibrine|P38590M55040|V|fibrine|1
fibrine depositie|M55040|V|fibrine depositie|2
fibrine stolsel|M35150||fibrine thrombus|2
fibrine thrombus|M35150|V|fibrine thrombus|2
fibrineus exsudaat|M40500||fibrineuze ontsteking|2
fibrineus purulente ontsteking|M41500||acute fibrineuze ontsteking|2
fibrineuze adhesie|M49420|V|fibrineuze adhesie|2
fibrineuze ontsteking|M40500|V|fibrineuze ontsteking|2
fibrinogeen|E84620|V|fibrinogeen|2
fibrinoid necrotiserende ontsteking|M44900||fibrinoide ontsteking|2
fibrinoide degeneratie|M54090||fibrinoide necrose|2
fibrinoide necrose|M54090|V|fibrinoide necrose|2
fibrinoide ontsteking|M44900|V|fibrinoide ontsteking|2
fibrinoide substantie|M54090||fibrinoide necrose|2
fibroadenoom|M90100|V|fibroadenoom|2
fibroadenosis|M74220||scleroserende adenose|2
fibroblast beenmerg|T06920|V|fibroblast beenmerg|0
fibroblastair meningeoom|M95320||fibreus meningeoom|2
fibroblastair osteosarcoom|M91823|V|fibroblastair osteosarcoom|2
fibroblastisch meningeoom|M95320||fibreus meningeoom|2
fibrocartilagineus mesenchymoom|M89901|V|fibrocartilagineus mesenchymoom|2
fibrocaseuze ontsteking|M45250|V|fibrocaseuze ontsteking|2
fibrocysteuze aandoening|M74320|V|fibrocysteuze aandoening|2
fibrocysteuze mastopathie|M74320T04000|V|fibrocysteuze mastopathie|2
fibroelastoma dorsi|M88200||elastofibroom|2
fibroelastose|M52300|V|fibroelastose|2
fibroepitheliaal papilloom|M76810||fibroepitheliale poliep|2
fibroepitheliale poliep|M76810|V|fibroepitheliale poliep|2
fibroepithelioom|M80933||basaalcelcarcinoom fibroepitheliaal type|2
fibrofolliculoom|M83910||predominant spoelcellig trichodiscoom|2
fibrokeratoom vinger verkregen|TY8800M49740||verkregen fibrokeratoom vinger|2
fibrolipoom|M88510|V|fibrolipoom|2
fibroma durum|M88100||fibroom|2
fibroma molle|M88510||fibrolipoom|2
fibroma nuchae|M88150|V|fibroma nuchae|2
fibroma pendulans|M76810||fibroepitheliale poliep|2
fibroma pendulum|M76810||fibroepitheliale poliep|2
fibromatose diffuus infantiel|M76240||diffuse infantiele fibromatose|2
fibromatose van dupuytren|M88221||palmaire of plantaire fibromatose|2
fibromatosis colli|T13300M88221|V|fibromatosis colli|6
fibromatosis palmaris|M88221||palmaire of plantaire fibromatose|2
fibromatosis planta pedis|TY9720M88221||ledderhose|6
fibromatosis plantaris|M88221||palmaire of plantaire fibromatose|2
fibromusculaire dysplasie|M72460|V|fibromusculaire dysplasie|2
